Candidatos|Votos|Porcentaje
2009 Primera vuelta País
SEBASTIAN PIÑERA| 3,074,164|  42.32
EDUARDO FREI| 2,065,061|  28.43
MARCO ENRIQUEZ-OMINAMI| 1,405,124|  19.34
JORGE ARRATE| 433,195|  5.96
Válidamente Emitidos| 6,977,544| 96.05
 Votos Nulos| 200,420| 2.76
 Votos Blanco| 86,172| 1.19
 Total| 7,264,136| 100.0
 2009 Segunda vuelta País
SEBASTIAN PIÑERA| 3,591,182|  49.85
EDUARDO FREI| 3,367,790|  46.75
Válidamente Emitidos| 6,958,972| 96.61
 Votos Nulos| 189,490| 2.63
 Votos Blanco| 54,909| 0.76
 Total| 7,203,371| 100.0
 
