Candidatos|Votos|Porcentaje
2005 Primera vuelta País
MICHELLE BACHELET| 3,190,691|  44.27
SEBASTIAN PIÑERA| 1,763,694|  24.47
JOAQUIN LAVIN| 1,612,608|  22.37
TOMAS HIRSCH| 375,048|  5.2
Válidamente Emitidos| 6,942,041| 96.32
 Votos Nulos| 180,485| 2.5
 Votos Blanco| 84,752| 1.18
 Total| 7,207,278| 100.0
 2005 Segunda vuelta País
MICHELLE BACHELET| 3,723,019|  51.98
SEBASTIAN PIÑERA| 3,236,394|  45.19
Válidamente Emitidos| 6,959,413| 97.17
 Votos Nulos| 154,972| 2.16
 Votos Blanco| 47,960| 0.67
 Total| 7,162,345| 100.0
 
