anio;vuelta;region;sexo;cantidad;porcentaje;total;fuente
1989;1;tarapaca;mujeres;83021;50,04%;165904;min_interior
1989;1;tarapaca;hombres;82833;49,93%;165904;min_interior
1989;1;antofagasta;mujeres;104598;49,95%;209412;min_interior
1989;1;antofagasta;hombres;104814;50,05%;209412;min_interior
1989;1;atacama;mujeres;55922;50,04%;111753;min_interior
1989;1;atacama;hombres;55831;49,96%;111753;min_interior
1989;1;coquimbo;mujeres;127249;51,49%;247133;min_interior
1989;1;coquimbo;hombres;119884;48,51%;247133;min_interior
1989;1;valparaiso;mujeres;400641;52,94%;756753;min_interior
1989;1;valparaiso;hombres;356112;47,06%;756753;min_interior
1989;1;ohiggins;mujeres;183961;49,97%;368172;min_interior
1989;1;ohiggins;hombres;184211;50,03%;368172;min_interior
1989;1;maule;mujeres;221775;50,24%;441448;min_interior
1989;1;maule;hombres;219673;49,76%;441448;min_interior
1989;1;biobio;mujeres;460699;51,31%;897908;min_interior
1989;1;biobio;hombres;437209;48,69%;897908;min_interior
1989;1;araucania;mujeres;198304;50,23%;394818;min_interior
1989;1;araucania;hombres;196514;49,77%;394818;min_interior
1989;1;loslagos;mujeres;238548;50,34%;473897;min_interior
1989;1;loslagos;hombres;235349;49,66%;473897;min_interior
1989;1;aisen;mujeres;17662;47,40%;37265;min_interior
1989;1;aisen;hombres;19603;52,60%;37265;min_interior
1989;1;magallanes;mujeres;38381;47,38%;81013;min_interior
1989;1;magallanes;hombres;42632;52,62%;81013;min_interior
1989;1;RM;mujeres;1501490;53,73%;2794383;min_interior
1989;1;RM;hombres;1292893;46,27%;2794383;min_interior
1993;1;tarapaca;mujeres;84175;50,54%;166553;min_interior
1993;1;tarapaca;hombres;82378;49,46%;166553;min_interior
1993;1;antofagasta;mujeres;103310;50,96%;202722;min_interior
1993;1;antofagasta;hombres;99412;49,04%;202722;min_interior
1993;1;atacama;mujeres;57539;50,83%;113190;min_interior
1993;1;atacama;hombres;55651;49,17%;113190;min_interior
1993;1;coquimbo;mujeres;130861;52,06%;251389;min_interior
1993;1;coquimbo;hombres;120528;47,94%;251389;min_interior
1993;1;valparaiso;mujeres;407665;53,03%;768785;min_interior
1993;1;valparaiso;hombres;361120;46,97%;768785;min_interior
1993;1;ohiggins;mujeres;193225;50,68%;381270;min_interior
1993;1;ohiggins;hombres;188045;49,32%;381270;min_interior
1993;1;maule;mujeres;225583;50,88%;443320;min_interior
1993;1;maule;hombres;217737;49,12%;443320;min_interior
1993;1;biobio;mujeres;463891;51,76%;896235;min_interior
1993;1;biobio;hombres;432344;48,24%;896235;min_interior
1993;1;araucania;mujeres;201285;50,79%;396344;min_interior
1993;1;araucania;hombres;195059;49,21%;396344;min_interior
1993;1;loslagos;mujeres;241908;50,65%;477654;min_interior
1993;1;loslagos;hombres;235746;49,35%;477654;min_interior
1993;1;aisen;mujeres;18690;47,57%;39292;min_interior
1993;1;aisen;hombres;20602;52,43%;39292;min_interior
1993;1;magallanes;mujeres;36141;47,87%;75500;min_interior
1993;1;magallanes;hombres;39359;52,13%;75500;min_interior
1993;1;RM;mujeres;1485094;53,87%;2756696;min_interior
1993;1;RM;hombres;1271602;46,13%;2756696;min_interior
1999;1;tarapaca;mujeres;88195;51,40%;171569;min_interior
1999;1;tarapaca;hombres;83374;48,60%;171569;min_interior
1999;1;antofagasta;mujeres;101819;51,28%;198543;min_interior
1999;1;antofagasta;hombres;96724;48,72%;198543;min_interior
1999;1;atacama;mujeres;57320;51,63%;111010;min_interior
1999;1;atacama;hombres;53690;48,37%;111010;min_interior
1999;1;coquimbo;mujeres;124371;47,41%;262345;min_interior
1999;1;coquimbo;hombres;137974;52,59%;262345;min_interior
1999;1;valparaiso;mujeres;415112;53,24%;779711;min_interior
1999;1;valparaiso;hombres;364599;46,76%;779711;min_interior
1999;1;ohiggins;mujeres;201234;51,30%;392299;min_interior
1999;1;ohiggins;hombres;191065;48,70%;392299;min_interior
1999;1;maule;mujeres;233508;51,68%;451809;min_interior
1999;1;maule;hombres;218301;48,32%;451809;min_interior
1999;1;biobio;mujeres;476067;52,24%;911317;min_interior
1999;1;biobio;hombres;435250;47,76%;911317;min_interior
1999;1;araucania;mujeres;206884;51,83%;399163;min_interior
1999;1;araucania;hombres;192279;48,17%;399163;min_interior
1999;1;loslagos;mujeres;251894;51,25%;491492;min_interior
1999;1;loslagos;hombres;239598;48,75%;491492;min_interior
1999;1;aisen;mujeres;19876;48,56%;40934;min_interior
1999;1;aisen;hombres;21058;51,44%;40934;min_interior
1999;1;magallanes;mujeres;35950;48,53%;74082;min_interior
1999;1;magallanes;hombres;38132;51,47%;74082;min_interior
1999;1;RM;mujeres;1498183;54,07%;2770854;min_interior
1999;;RM;hombres;1272671;45,93%;2770854;min_interior
1999;1;tarapaca;mujeres;88830;51,18%;173558;min_interior
1999;2;tarapaca;hombres;84728;48,82%;173558;min_interior
1999;2;antofagasta;mujeres;101988;51,04%;199839;min_interior
1999;2;antofagasta;hombres;97851;48,96%;199839;min_interior
1999;2;atacama;mujeres;58247;51,44%;113243;min_interior
1999;2;atacama;hombres;54996;48,56%;113243;min_interior
1999;2;coquimbo;mujeres;141102;52,52%;268654;min_interior
1999;2;coquimbo;hombres;127552;47,48%;268654;min_interior
1999;2;valparaiso;mujeres;422252;53,18%;794074;min_interior
1999;2;valparaiso;hombres;371822;46,82%;794074;min_interior
1999;2;ohiggins;mujeres;204478;51,20%;399407;min_interior
1999;2;ohiggins;hombres;194929;48,80%;399407;min_interior
1999;2;maule;mujeres;238979;51,63%;462887;min_interior
1999;2;maule;hombres;223908;48,37%;462887;min_interior
