eleccion_id;anio;vuelta;tipo;candidato;Tarapacá;Arica y Parinacota;Antofagasta;Atacama;Coquimbo;Valparaíso;RM;O´Higgins;Maule;Ñuble;Biobío;Araucanía;Los Ríos;Los Lagos;Aysén;Magallanes;votos_candidato_limpio;fuente_total_usado;factor_duplicacion_detectado;total_columna;suma_regiones;razon_total_suma_regiones;nulos_total_eleccion;blancos_total_eleccion;nulos_total_original;blancos_total_original;observacion_total
1989_1;1989;1;Primera vuelta;Francisco Errazuriz;31224;;36710;10094;30020;139505;350210;43072;63944;;168792;95654;;94466;5319;8162;1077172;total_columna;1;1077172;1077172;1.0;;;;;"Total original consistente con suma regional; se conserva."
1989_1;1989;1;Primera vuelta;Hernán Buchi;52293;;52023;33856;75795;219152;874649;109155;125695;;223677;112964;;137360;11556;23941;2052116;total_columna;1;2052116;2052116;1.0;103631;75237;103631;75237;"Total original consistente con suma regional; se conserva."
1989_1;1989;1;Primera vuelta;Patricio Aylwin;82387;;120679;67803;141318;398096;1569524;215945;251809;;505439;186200;;242071;20390;48910;3850571;total_columna;1;3850571;3850571;1.0;;;;;"Total original consistente con suma regional; se conserva."
1993_1;1993;1;Primera vuelta;Arturo Alessandri;45856;;45392;25009;52912;195139;642059;86083;115648;;201650;120473;;143316;12692;16841;1703070;suma_regiones;2;3406140;1703070;2.0;;;;;"Total original parece duplicado; se usa suma regional."
1993_1;1993;1;Primera vuelta;Cristian Reitze;1437;;2015;1087;2807;7105;25320;4620;7429;;13973;7815;;6895;521;790;81814;suma_regiones;2;163628;81814;2.0;;;;;"Total original parece duplicado; se usa suma regional."
1993_1;1993;1;Primera vuelta;Eduardo Frei;88450;;112670;66058;154883;427094;1582034;237272;270497;;541600;224961;;270766;21608;46219;4044112;suma_regiones;2;8088224;4044112;2.0;;;;;"Total original parece duplicado; se usa suma regional."
1993_1;1993;1;Primera vuelta;Eugenio Pizarro;9985;;14966;10037;16673;35203;127042;17718;17377;;43163;12244;;18210;1870;2916;327404;suma_regiones;2;654808;327404;2.0;;;;;"Total original parece duplicado; se usa suma regional."
1993_1;1993;1;Primera vuelta;José Piñera;13353;;14203;5769;13985;59290;203953;18791;16929;;43767;16335;;18165;1513;5123;431176;suma_regiones;2;862352;431176;2.0;;;;;"Total original parece duplicado; se usa suma regional."
1993_1;1993;1;Primera vuelta;Manfred Neff;7472;;13476;5230;10129;44954;176288;16787;15440;;55454;14516;;22088;1406;4131;387371;suma_regiones;2;774742;387371;2.0;271389;136950;542778;273900;"Total original parece duplicado; se usa suma regional."
1999_1;1999;1;Primera vuelta;Arturo Frei;468;;608;273;1026;2731;7756;1483;1850;;5583;2047;;2514;217;256;26812;suma_regiones;2;53624;26812;2.0;159465;56991;318930;113982;"Total original parece duplicado; se usa suma regional."
1999_1;1999;1;Primera vuelta;Gladys Marín;6893;;8140;5037;9230;28493;99063;10584;9472;;29932;6679;;9039;914;1748;225224;suma_regiones;2;450448;225224;2.0;;;;;"Total original parece duplicado; se usa suma regional."
1999_1;1999;1;Primera vuelta;Joaquín Lavin;83985;;80527;42578;100985;397017;1315042;185452;210768;;402291;225279;;256369;20609;31290;3352192;suma_regiones;2;6704384;3352192;2.0;;;;;"Total original parece duplicado; se usa suma regional."
1999_1;1999;1;Primera vuelta;Ricardo Lagos;78617;;107504;62244;148558;344053;1323235;191058;225304;;463597;161045;;219150;18805;40164;3383334;suma_regiones;2;6766668;3383334;2.0;;;;;"Total original parece duplicado; se usa suma regional."
1999_1;1999;1;Primera vuelta;Sara Larrain;564;;671;386;1297;3389;10805;1875;2434;;4957;2151;;2344;198;248;31319;suma_regiones;2;62638;31319;2.0;;;;;"Total original parece duplicado; se usa suma regional."
1999_1;1999;1;Primera vuelta;Tomás Hirsch;1042;;1093;492;1249;4028;14953;1847;1981;;4957;1962;;2076;191;364;36235;suma_regiones;2;72470;36235;2.0;;;;;"Total original parece duplicado; se usa suma regional."
