eleccion_id,anio,vuelta,region_codigo,region,region_fuente,division_regional,nulos,blancos,nulos_blancos,votos_emitidos,pct_nulos_blancos,nota_limite_regional
1989_1,1989,1,1,Tarapacá,Tarapacá,13 regiones,2833,1739,4572,170476,2.681902,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1989_1,1989,1,2,Antofagasta,Antofagasta,13 regiones,3191,1980,5171,214583,2.409790,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1989_1,1989,1,3,Atacama,Atacama,13 regiones,1385,1501,2886,114639,2.517468,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1989_1,1989,1,4,Coquimbo,Coquimbo,13 regiones,3915,3881,7796,254929,3.058106,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1989_1,1989,1,5,Valparaíso,Valparaíso,13 regiones,10482,7478,17960,774713,2.318278,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1989_1,1989,1,6,O’Higgins,O’Higgins,13 regiones,5174,4996,10170,378342,2.688044,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1989_1,1989,1,7,Maule,Maule,13 regiones,7170,5794,12964,454412,2.852918,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1989_1,1989,1,8,Biobío,Biobío,13 regiones,15572,11578,27150,925058,2.934951,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1989_1,1989,1,9,La Araucanía,La Araucanía,13 regiones,7927,5753,13680,408498,3.348854,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1989_1,1989,1,10,Los Lagos,Los Lagos,13 regiones,7801,6649,14450,488347,2.958962,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1989_1,1989,1,11,Aysén,Aysén,13 regiones,508,525,1033,38298,2.697269,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1989_1,1989,1,12,Magallanes,Magallanes,13 regiones,874,634,1508,82521,1.827414,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1989_1,1989,1,13,Metropolitana,Metropolitana,13 regiones,36799,22729,59528,2853911,2.085839,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1993_1,1993,1,1,Tarapacá,Tarapacá,13 regiones,6884,3226,10110,176663,5.722760,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1993_1,1993,1,2,Antofagasta,Antofagasta,13 regiones,10375,3814,14189,216911,6.541393,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1993_1,1993,1,3,Atacama,Atacama,13 regiones,4096,2734,6830,120020,5.690718,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1993_1,1993,1,4,Coquimbo,Coquimbo,13 regiones,10124,7329,17453,268842,6.491917,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1993_1,1993,1,5,Valparaíso,Valparaíso,13 regiones,31484,14329,45813,814598,5.624001,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1993_1,1993,1,6,O’Higgins,O’Higgins,13 regiones,14052,8869,22921,404192,5.670820,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1993_1,1993,1,7,Maule,Maule,13 regiones,16695,10163,26858,470178,5.712305,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1993_1,1993,1,8,Biobío,Biobío,13 regiones,38452,18863,57315,956922,5.989516,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1993_1,1993,1,9,La Araucanía,La Araucanía,13 regiones,15869,9077,24946,421290,5.921337,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1993_1,1993,1,10,Los Lagos,Los Lagos,13 regiones,16670,12706,29376,508816,5.773403,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1993_1,1993,1,11,Aysén,Aysén,13 regiones,958,866,1824,41434,4.402182,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1993_1,1993,1,12,Magallanes,Magallanes,13 regiones,3193,1237,4430,80450,5.506526,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1993_1,1993,1,13,Metropolitana,Metropolitana,13 regiones,102537,43737,146274,2902970,5.038771,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_1,1999,1,1,Tarapacá,DE TARAPACA,13 regiones,4972,1475,6447,178016,3.621585,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_1,1999,1,2,Antofagasta,DE ANTOFAGASTA,13 regiones,5835,1705,7540,206083,3.658720,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_1,1999,1,3,Atacama,DE ATACAMA,13 regiones,2447,1032,3479,114489,3.038720,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_1,1999,1,4,Coquimbo,DE COQUIMBO,13 regiones,6255,3091,9346,271691,3.439937,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_1,1999,1,5,Valparaíso,DE VALPARAISO,13 regiones,21386,6480,27866,807577,3.450569,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_1,1999,1,6,O’Higgins,DEL LIBERTADOR BDO.,13 regiones,8337,3581,11918,404217,2.948416,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_1,1999,1,7,Maule,DEL MAULE,13 regiones,8695,3742,12437,464246,2.678968,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_1,1999,1,8,Biobío,DEL BIO BIO,13 regiones,21305,7841,29146,940463,3.099112,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_1,1999,1,9,La Araucanía,DE LA ARAUCANIA,13 regiones,8463,3403,11866,411029,2.886901,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_1,1999,1,10,Los Lagos,DE LOS LAGOS,13 regiones,9083,4926,14009,505501,2.771310,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_1,1999,1,11,Aysén,AYSEN DEL GRAL. CARL,13 regiones,584,365,949,41883,2.265836,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_1,1999,1,12,Magallanes,DE MAGALLANES Y ANTA,13 regiones,1964,556,2520,76590,3.290247,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_1,1999,1,13,Metropolitana,METROPOLITANA DE SAN,13 regiones,60139,18794,78933,2849787,2.769786,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_2,1999,2,1,Tarapacá,DE TARAPACA,13 regiones,3523,1173,4696,178254,2.634443,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_2,1999,2,2,Antofagasta,DE ANTOFAGASTA,13 regiones,3805,1278,5083,204922,2.480456,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_2,1999,2,3,Atacama,DE ATACAMA,13 regiones,1681,782,2463,115706,2.128671,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_2,1999,2,4,Coquimbo,DE COQUIMBO,13 regiones,3795,2238,6033,274687,2.196318,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_2,1999,2,5,Valparaíso,DE VALPARAISO,13 regiones,13825,5426,19251,813325,2.366950,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_2,1999,2,6,O’Higgins,DEL LIBERTADOR BDO.,13 regiones,5109,2576,7685,407092,1.887780,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_2,1999,2,7,Maule,DEL MAULE,13 regiones,4947,2815,7762,470649,1.649212,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_2,1999,2,8,Biobío,DEL BIO BIO,13 regiones,12551,5916,18467,952955,1.937867,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_2,1999,2,9,La Araucanía,DE LA ARAUCANIA,13 regiones,4488,2534,7022,420757,1.668897,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_2,1999,2,10,Los Lagos,DE LOS LAGOS,13 regiones,4907,3511,8418,514550,1.635993,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_2,1999,2,11,Aysén,AYSEN DEL GRAL. CARL,13 regiones,425,242,667,42052,1.586131,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_2,1999,2,12,Magallanes,DE MAGALLANES Y ANTA,13 regiones,1197,381,1578,75229,2.097595,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
1999_2,1999,2,13,Metropolitana,METROPOLITANA DE SAN,13 regiones,43098,15803,58901,2856575,2.061945,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_1,2005,1,1,Tarapacá,DE TARAPACA,13 regiones,5241,1902,7143,180545,3.956354,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_1,2005,1,2,Antofagasta,DE ANTOFAGASTA,13 regiones,5705,2007,7712,202407,3.810145,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
