eleccion_id;anio;vuelta;tipo;opcion;categoria;votos;votos_emitidos;porcentaje_emitidos
1989_1;1989;1;Primera vuelta;Francisco Errazuriz;Candidatura;1077172;7158727;15.046976927601794
1989_1;1989;1;Primera vuelta;Hernán Buchi;Candidatura;2052116;7158727;28.665934599824798
1989_1;1989;1;Primera vuelta;Patricio Aylwin;Candidatura;3850571;7158727;53.788487813545615
1989_1;1989;1;Primera vuelta;Blancos;Voto que no elige;75237;7158727;1.0509829471077747
1989_1;1989;1;Primera vuelta;Nulos;Voto que no elige;103631;7158727;1.4476177119200104
1993_1;1993;1;Primera vuelta;Arturo Alessandri;Candidatura;1703070;7383286;23.066558711121306
1993_1;1993;1;Primera vuelta;Cristian Reitze;Candidatura;81814;7383286;1.1080973972835402
1993_1;1993;1;Primera vuelta;Eduardo Frei;Candidatura;4044112;7383286;54.77387710566812
1993_1;1993;1;Primera vuelta;Eugenio Pizarro;Candidatura;327404;7383286;4.4343941166575425
1993_1;1993;1;Primera vuelta;José Piñera;Candidatura;431176;7383286;5.839892969065535
1993_1;1993;1;Primera vuelta;Manfred Neff;Candidatura;387371;7383286;5.246593454459166
1993_1;1993;1;Primera vuelta;Blancos;Voto que no elige;136950;7383286;1.8548651643726113
1993_1;1993;1;Primera vuelta;Nulos;Voto que no elige;271389;7383286;3.6757210813721692
1999_1;1999;1;Primera vuelta;Arturo Frei;Candidatura;26812;7271572;0.3687235717393708
1999_1;1999;1;Primera vuelta;Gladys Marín;Candidatura;225224;7271572;3.0973220096012253
1999_1;1999;1;Primera vuelta;Joaquín Lavin;Candidatura;3352192;7271572;46.09996297911923
1999_1;1999;1;Primera vuelta;Ricardo Lagos;Candidatura;3383334;7271572;46.52823350989305
1999_1;1999;1;Primera vuelta;Sara Larrain;Candidatura;31319;7271572;0.4307046674364223
1999_1;1999;1;Primera vuelta;Tomás Hirsch;Candidatura;36235;7271572;0.49831040660808973
1999_1;1999;1;Primera vuelta;Blancos;Voto que no elige;56991;7271572;0.7837507488064478
1999_1;1999;1;Primera vuelta;Nulos;Voto que no elige;159465;7271572;2.1929921067961646
1999_2;1999;2;Segunda vuelta;Joaquín Lavin;Candidatura;3495569;7326753;47.709660746035794
1999_2;1999;2;Segunda vuelta;Ricardo Lagos;Candidatura;3683158;7326753;50.269989994203435
1999_2;1999;2;Segunda vuelta;Blancos;Voto que no elige;44675;7326753;0.6097516867294421
1999_2;1999;2;Segunda vuelta;Nulos;Voto que no elige;103351;7326753;1.4105975730313278
