eleccion_id;anio;vuelta;tipo;votos_candidaturas;nulos_total;blancos_total;factor_duplicacion_detectado;votos_emitidos;nulos_blancos_total;pct_nulos;pct_blancos;pct_nulos_blancos
1989_1;1989;1;Primera vuelta;6979859;103631;75237;1;7158727;178868;1.4476177119200104;1.0509829471077747;2.4986006590277854
1993_1;1993;1;Primera vuelta;6974947;271389;136950;2;7383286;408339;3.6757210813721692;1.8548651643726113;5.5305862457447805
1999_1;1999;1;Primera vuelta;7055116;159465;56991;2;7271572;216456;2.1929921067961646;0.7837507488064478;2.9767428556026125
1999_2;1999;2;Segunda vuelta;7178727;103351;44675;1;7326753;148026;1.4105975730313278;0.6097516867294421;2.0203492597607697
2005_1;2005;1;Primera vuelta;6942041;180485;84752;1;7207278;265237;2.504204777448573;1.1759224495017397;3.680127226950313
2005_2;2005;2;Segunda vuelta;6959413;154972;47960;1;7162345;202932;2.163704764291583;0.6696130945940192;2.8333178588856023
2009_1;2009;1;Primera vuelta;6977544;200420;86172;2;7264136;286592;2.7590342471561655;1.1862663364232167;3.945300583579382
2009_2;2009;2;Segunda vuelta;6958972;189490;54909;2;7203371;244399;2.630573935453276;0.7622681103055777;3.3928420457588535
2013_1;2013;1;Primera vuelta;6585808;66935;46268;1;6699011;113203;0.9991773412523133;0.6906691151873016;1.6898464564396147
2013_2;2013;2;Segunda vuelta;5582270;82916;32565;1;5697751;115481;1.4552408485383093;0.5715412976102325;2.0267821461485416
2017_1;2017;1;Primera vuelta;6600280;64504;38543;1;6703327;103047;0.9622684377474051;0.574983138969649;1.537251576717054
2017_2;2017;2;Segunda vuelta;6957546;56440;18892;1;7032878;75332;0.8025164093561696;0.2686240256122742;1.071140434968444
2021_1;2021;1;Primera vuelta;6994533;55480;30493;2;7080506;85973;0.7835598190298829;0.43066131149383957;1.2142211305237225
2021_2;2021;2;Segunda vuelta;8237185;68616;23972;2;8329773;92588;0.8237439363593702;0.28778695409826893;1.1115308904576393
2025_1;2025;1;Primera vuelta;12911241;361403;141989;2;13414633;503392;2.694095321131782;1.0584635449959756;3.752558866127758
2025_2;2025;2;Segunda vuelta;12427608;783816;165344;2;13376768;949160;5.8595319885939565;1.2360534323388133;7.095585420932769
